date,close,volume,open,high,low
13:02,246.45,"2,174,419",245.14,246.62,244.72
4/13/18,243.58,5220877,246.42,246.46,242.33
4/12/18,244.81,4729906,243.66,245.82,243.44
4/11/18,241.88,4729143,242.13,243.58,241.393
4/10/18,244.01,5979391,243.35,245,242.2
4/9/18,239.73,5043110,241.16,243.64,239.43
4/6/18,239.13,6974329,242.3,244.2525,237.24
4/5/18,244.91,4734592,243.8,246.09,243.381
4/4/18,242.46,6405285,235.05,242.9,234.94
4/3/18,240.15,9868993,237.38,240.25,236.4
4/2/18,236.15,9212423,240.33,241.03,233.2
3/29/18,241.4,6629568,239.57,242.94,239.06
3/28/18,238.28,7981146,239.04,240.72,237.05
3/27/18,238.29,6498079,243.05,244.2599,236.85
3/26/18,241.82,6581433,239.03,242.15,237.2
3/23/18,235.13,7594541,239.98,240.9,234.85
3/22/18,239.36,7408456,244.09,245.03,239.17
3/21/18,246.62,4339096,247.14,249.65,246.32
3/20/18,247.1,3257325,246.49,247.85,246.32
3/19/18,245.91,5731009,248.3,248.38,244.32
3/16/18,249.1,3427246,248.57,250.129,248.34
3/15/18,249,5018533,248.84,250.8,247.8
3/14/18,247.88,6209556,251.41,251.62,246.92
3/13/18,250.22,6094418,253.1,253.97,249.65
3/12/18,251.96,5502374,254.05,254.72,251.7002
3/9/18,253.56,3903163,250.94,253.56,250.34
3/8/18,249.14,5837854,249.13,249.705,247.22
3/7/18,248.11,5353478,245.86,248.58,245.4
3/6/18,248.84,4349888,250.18,250.18,247.05
3/5/18,248.84,4883176,243.84,249.63,243.8
3/2/18,245.35,6389053,243.55,245.92,242.16
3/1/18,245.98,8137938,250.21,251.87,244.37
2/28/18,250.2,5288526,255.18,255.77,250.2
2/27/18,253.96,7214275,257.1,257.86,253.92
2/26/18,256.92,6077704,254.32,257.18,253.96
2/23/18,252.91,5086166,250.79,252.95,250.05
2/22/18,249.49,6339391,248.63,251.36,248.5328
2/21/18,247.72,5884560,249.6,252.51,247.71
2/20/18,249.35,8676585,250.44,251.5863,248.59
2/16/18,251.96,6398795,251.43,254.12,251.2
2/15/18,252.5,6086785,251.62,252.5,248.49
2/14/18,249.3,5759754,245.17,249.49,245.04
2/13/18,246.57,6229490,244.72,247.25,244.33
2/12/18,246.17,10453740,244.03,247.85,243.0646
2/9/18,242.03,19856590,241.41,244.03,233.76
2/8/18,238.67,15811420,248.96,249.08,238.5
2/7/18,248.76,12628500,248.24,252.79,247.57
2/6/18,248.96,20478420,238.32,249.33,237.54
2/5/18,243.27,19850580,252.22,255.02,239.06
2/2/18,254.93,9474594,259.61,259.85,254.73
2/1/18,261.62,5170033,259.95,262.9,259.77
1/31/18,261.44,5363924,263,263.16,260.29
1/30/18,260.62,9401977,261.48,262.44,260.09
1/29/18,264.16,4599150,265.56,265.9,264.12
1/26/18,265.91,3858843,264.32,265.93,264.05
1/25/18,263.75,5916458,263.58,264.3901,262.42
1/24/18,262.57,7103317,263,263.76,260.8701
1/23/18,261.87,3475697,261.83,262.29,261.275
